"Date","Open","High","Low","Close","Volume"
"4/25/2011","598.5","602","586.325012","598.924988","4191552"
"4/26/2011","600","601","590.174988","594.5","3155246"
"4/27/2011","597.474976","597.474976","588.025024","590.299988","1774478"
"4/28/2011","590.075012","591.75","577.799988","579.325012","2846194"
"4/29/2011","586","586","575.125","582.825012","1866696"
"5/2/2011","585","588.75","576.25","579.224976","1543070"
"5/3/2011","581","581","565.5","569.224976","2120156"
"5/4/2011","573","573","557.575012","568.525024","2722934"
"5/5/2011","572.5","572.5","554.049988","557.5","1885596"
"5/6/2011","560","576.75","559.875","574.474976","2405348"
"5/9/2011","575","575.974976","562.25","567.775024","1012232"
"5/10/2011","566.5","579.974976","564","569.950012","1529158"
"5/11/2011","569.5","575.849976","563.049988","570.125","1460670"
"5/12/2011","566.950012","566.950012","554.174988","555.875","2540458"
"5/13/2011","556","571.150024","556","563.549988","2365488"
"5/16/2011","560.5","573.700012","560","565.549988","2227368"
"5/17/2011","561.025024","574.599976","561.025024","570.849976","1391414"
"5/18/2011","571.125","580.75","571.125","577.525024","2225180"
"5/19/2011","582.5","585","578","582.424988","2050922"
"5/20/2011","586.875","591.700012","581.625","587.5","2050600"
"5/23/2011","582","585.25","575","583.275024","2017284"
"5/24/2011","581.325012","586.400024","569.575012","574.950012","1681994"
"5/25/2011","574.549988","574.950012","560","564.299988","1867470"
"5/26/2011","569.5","571.5","560","567.875","2060218"
"5/27/2011","574.275024","574.950012","568.150024","572.275024","1286704"
"5/30/2011","575.5","579.974976","571.150024","575.974976","1140868"
"5/31/2011","577.5","588.849976","575.049988","578.575012","2644154"
"6/1/2011","578.5","588.5","578.5","587.700012","982386"
"6/2/2011","579.450012","586","578.325012","583.875","1697654"
"6/3/2011","583","587.5","575","576.049988","1367808"
"6/6/2011","570","584","570","582.174988","1357074"
"6/7/2011","581.5","591.575012","579","589.650024","1837442"
"6/8/2011","585.950012","592.5","581.75","590.700012","2127670"
"6/9/2011","587.5","596.900024","587.5","593.174988","2693966"
"6/10/2011","593.275024","598.75","592.549988","594.599976","3774550"
"6/13/2011","594.599976","595.25","586.275024","587.650024","3229400"
"6/14/2011","589","597.450012","589","595.525024","2125782"
"6/15/2011","593","602.5","590.625","592.125","2812382"
"6/16/2011","591.5","592.950012","574.125","575.575012","2337520"
"6/17/2011","577.5","578.5","552","554.599976","3788146"
"6/20/2011","557.5","559.5","529","534.650024","5310408"
"6/21/2011","537.5","555.349976","531.599976","553.375","3425946"
"6/22/2011","558","558.450012","540","541.75","3570834"
"6/23/2011","540.900024","550.5","535.049988","548.5","2428236"
"6/24/2011","550","570.375","549.5","568.875","4151588"
"6/27/2011","561","577.349976","561","575.299988","3125218"
"6/28/2011","580","581","567.825012","577","2133332"
"6/29/2011","577.349976","589.450012","577.349976","584.924988","2958704"
"6/30/2011","584.900024","596","583.5","592.099976","5172916"
"7/1/2011","599","599","589.849976","595.950012","1920840"
"7/4/2011","596.5","600","590","592.849976","1603734"
"7/5/2011","594.900024","595.5","586.700012","589.724976","2061136"
"7/6/2011","589.125","596.450012","585.849976","591.400024","1490178"
"7/7/2011","591.549988","600","591.549988","597.950012","2602634"
"7/8/2011","598","602.5","584.625","585.825012","3412060"
"7/11/2011","585","588.900024","573.299988","578.325012","1822504"
"7/12/2011","567.849976","574.400024","556.049988","572.674988","4079404"
"7/13/2011","575","584","565.5","574.525024","3952600"
"7/14/2011","575","579.299988","559.549988","561.849976","6937844"
"7/15/2011","584","588.950012","570.549988","573.025024","7279700"
"7/18/2011","574","576","561.150024","562.525024","3125208"
"7/19/2011","560.799988","574.075012","560.125","570.025024","2195292"
"7/20/2011","575","575.900024","562.5","566.224976","2807746"
"7/21/2011","566","566.25","560.025024","561.275024","1850624"
"7/22/2011","563.375","570.650024","563.25","566.700012","2090442"
"7/25/2011","567.5","572","561.575012","569.950012","4740714"
"7/26/2011","569.900024","575.974976","563.625","572.325012","3968722"
"7/27/2011","574.474976","577.325012","569.075012","573.575012","2024290"
"7/28/2011","570","572.450012","560.150024","564.775024","4093814"
"7/29/2011","566.5","571","560.825012","568.5","1719138"
"8/1/2011","571.200012","574.950012","562.549988","567.625","1982346"
"8/2/2011","565.25","567","561.125","565.325012","2025292"
"8/3/2011","560","562.849976","547.674988","555.174988","3064246"
"8/4/2011","555.025024","559.75","545.549988","547.924988","3049294"
"8/5/2011","536.575012","537","514","528.974976","5269388"
"8/8/2011","505.600006","516.674988","498.299988","502.674988","6549306"
"8/9/2011","482.5","492.600006","473.850006","482.399994","8159270"
"8/10/2011","499.5","506","486.899994","492.024994","5949080"
"8/11/2011","490","491.700012","481.5","489.174988","2900464"
"8/12/2011","495.274994","495.950012","468.75","473.575012","4169084"
"8/16/2011","483.5","489.174988","478.024994","486.799988","2983568"
"8/17/2011","487.25","504.700012","485","499.950012","4557892"
"8/18/2011","502.950012","504.649994","479","481.174988","3619896"
"8/19/2011","471.5","473.475006","452.5","464.475006","5443614"
"8/22/2011","464.5","465","451","459.024994","3528922"
"8/23/2011","460.424988","494","460.174988","490.799988","4874670"
"8/24/2011","489","489","477.5","481.299988","3194790"
"8/25/2011","484.850006","486.5","469","475.200012","4445488"
